spotify_id,spotify_name,spotify_popularity
6baeV3RT4kpivo327DC3AM,あなたがいることで,44
2KDkAt8JQnoBls8yMi0hMk,Crazy,55
3eIvjtwoYC16ElxYE6ph7J,Hace Mucho Tiempo,64
5uQRmdIqyMmKPWJcot4UmV,Garden Song,67
4eKLUPXpTIghBR8nr3X8rT,PRZYTOBIE,48
1RcA6iOi510XKkKMK13zsf,Best of You (with Elle King),67
5aQF9e5w9GSJFpn6mKspbH,Thug Motivation,47
7ofWUKeNCUw1P64ArIwG9b,"Dheeme Dheeme (From ""Pati Patni Aur Woh"")",61
2MA2VUQGniYx8xoAkXq5jN,"Chal Ghar Chalen (From ""Malang - Unleash The Madness"")",0
0Yj16EfuGCjbbv6W31pQwk,Lovesick,54
3Tq17cNZ19NxBlNgLPXx7u,"Acábame de Matar (Feat. Luis Angel ""El Flaco"")",64
2ZGgIXaoierTsnkrDzuBzY,คั่นกู - เพลงประกอบซีรีส์ เพราะเราคู่กัน,54
78L2RUFISfqkmZMTCLYQJC,100 dni do matury,64
4R59wt5nnhYo88PIu3cUIt,Olalla,65
3RhwOffN5GMvTZZ7ZYXTQk,Let Us Go,56
2alJKJoqOOEPVU1Do3eIjJ,53.49,50
5UxxCtrLtSqOVRBQQn4ZJ3,32.22,43
5CTzapBNGovLrqPas4cy7J,42.26,48
6MUZSRiBO5mpq5qQkFgAgz,Mr. Navigator,59
0OcVZqIer0LLu3K8sdU5Yb,"Pyaar Tenu Karda Gabru (From ""Shubh Mangal Zyada Saavdhan"")",60
3ZjytV5BojgvkPnXdY5zV2,Patointeligencja,61
76CWLFHm3OFuE2P1dDMhi3,Full Circle,61
5g7bsxCqNaucnXpexUoHg8,Something Comforting,58
55gKq9bOAPRAcOQInZ76tH,U Got That,63
222CYzFdozaJ8D7TL0Eo0u,The Mop,46
6cZCrWA68xFTljPmBHPlwJ,Morocco (feat. 6LACK),50
2kYgryHD0pSjhorV2DOdxc,Drift,64
6A9QEWYXpXLMeJLRjGsIJ1,돌덩이,54
5rqQv5jUcg58xsi1nuZDl9,Falling Asleep At The Wheel,67
6YviOFfwGAS5ZFLaWiVXNo,No Soy Lo Que Piensas,59
0x68K3iDRHrtFl3YkH9bp4,El Tejano (feat. Sofía Reyes),55
3wcluZHyfuTzIXHfwXVAIE,Strangers,67
4tFviuCjk8bBWoIGdWTKuI,No Front,46
2gsxeJnGbJQkBddBDr0UTV,Living The Dream,64
5W3SrNE55U2N5kg2ygA1lx,Someday,53
6ySOgvVNAx7qfWQjAuygwU,Photo of My Mind,54
3LKBq7pj020jC6cunIya6E,Rainman,61
2RBuzNyLuV1jXU8qi84Hiy,All of My Days,56
0z9lOAVgQT5bysEKZ6Wwbk,"Dus Bahane 2.0 (From ""Baaghi 3"") (feat. K.K., Shaan, Tulsi Kumar)",61
2hsQ2FX3VY21THYy43Hscl,Love You More (feat. LAY & will.i.am),42
6oEFRBgGkATGn8ZpQ0TTdl,Home,54
38zsRUkjUqAe1vCBJNPDbI,Anioły I Demony,56
6zrkWFn28ep82mbAXsQn1k,Ups & Downs,60
2EaWqg4KUDVx6gVbgQ4Lyw,Przebój nocy,53
